,sum,desc_sys,desc_user_0,desc_assis,desc_user_1,desc,reason_user_0,reason,n_exp_user_0,n_exp,s_exp_user_0,s_sxp
0,1533,25,665,64,162,50,164,67,172,42,33,89
1,1625,25,665,64,258,50,164,43,181,50,33,92
2,1646,25,665,64,270,50,164,55,189,41,33,90
3,1683,25,665,64,276,50,164,80,186,50,33,90
4,1637,25,665,64,271,50,164,70,188,24,33,83
5,1650,25,665,64,268,50,164,59,188,50,33,84
6,1687,25,665,64,269,50,164,88,180,50,33,99
7,1659,25,665,64,274,50,164,62,184,38,33,100
8,1683,25,665,64,281,50,164,63,188,50,33,100
9,1662,25,665,64,285,50,164,47,198,31,33,100
10,1701,25,665,64,295,50,164,57,198,50,33,100
11,1689,25,665,64,295,50,164,63,184,46,33,100
12,1675,25,665,64,281,50,164,75,184,34,33,100
13,1715,25,665,64,281,50,164,89,194,50,33,100
14,1731,25,665,64,287,50,164,100,203,49,33,91
15,1716,25,665,64,286,50,164,93,202,37,33,97
16,1739,25,665,64,293,50,164,100,200,45,33,100
17,1719,25,665,64,295,50,164,100,190,33,33,100
18,1655,25,665,64,285,50,164,49,188,33,33,99
19,1712,25,665,64,284,50,164,100,190,38,33,99
20,1695,25,665,64,284,50,164,75,185,50,33,100
21,1704,25,665,64,280,50,164,92,183,48,33,100
22,1660,25,665,64,278,50,164,52,181,48,33,100
23,1680,25,665,64,278,50,164,70,181,50,33,100
24,1697,25,665,64,276,50,164,100,179,46,33,95
25,1711,25,665,64,269,50,164,100,200,50,33,91
26,1725,25,665,64,284,50,164,100,197,50,33,93
27,1649,25,665,64,283,50,164,46,193,38,33,88
28,1659,25,665,64,278,50,164,68,193,41,33,78
29,1615,25,665,64,268,50,164,48,193,27,33,78
30,1603,25,665,64,268,50,164,43,193,25,33,73
31,1710,25,665,64,263,50,164,100,199,50,33,97
32,1728,25,665,64,289,50,164,100,188,50,33,100
33,1682,25,665,64,283,50,164,80,186,33,33,99
34,1654,25,665,64,280,50,164,56,180,47,33,90
35,1690,25,665,64,267,50,164,94,178,50,33,100
36,1702,25,665,64,273,50,164,100,178,50,33,100
37,1634,25,665,64,269,50,164,59,172,33,33,100
38,1675,25,665,64,267,50,164,93,168,46,33,100
39,1671,25,665,64,263,50,164,100,168,39,33,100
