,env_view,env_step,env_memo,obj_view,toggle,pick up,drop off
0,"[[0 0 0 0 0 0 0 0 0 0 0]
 [0 1 1 1 0 0 0 0 0 0 0]
 [0 1 1 1 0 0 0 0 0 0 0]
 [0 1 1 1 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1  4  4  4 -1 -1 -1 -1 -1 -1 -1]
 [-1  4  4  4 -1 -1 -1 -1 -1 -1 -1]
 [-1  4  4  4 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]]",[0 9 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
1,"[[0 0 0 0 0 0 0 0 0 0 0]
 [0 1 2 2 1 0 0 0 0 0 0]
 [0 1 2 2 1 0 0 0 0 0 0]
 [0 1 2 2 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 1 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[-2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2]
 [-2  3  8  8  3 -2 -2 -2 -2 -2 -2]
 [-2  3  8  8  3 -2 -2 -2 -2 -2 -2]
 [-2  3  8  8  3 -2 -2 -2 -2 -2 -2]
 [-2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2]
 [-2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2]]",[ 0 16  0  0  0  1  1  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
2,"[[0 0 0 0 0 0 0 0 0 0 0]
 [0 1 2 3 2 1 0 0 0 0 0]
 [0 1 2 3 2 1 0 0 0 0 0]
 [0 1 2 3 2 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 1 1 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3]
 [-3  2  7 10  7  2 -3 -3 -3 -3 -3]
 [-3  2  7 10  7  2 -3 -3 -3 -3 -3]
 [-3  2  7 10  7  2 -3 -3 -3 -3 -3]
 [-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3]
 [-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3]]",[ 0 20  2  0  1  2  2  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
3,"[[0 0 0 0 0 0 0 0 0 0 0]
 [0 1 2 3 2 1 0 0 0 0 0]
 [0 1 3 4 3 1 0 0 0 0 0]
 [0 1 3 4 3 1 0 0 0 0 0]
 [0 0 1 1 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 1 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[-4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4]
 [-4  1  6  9  6  1 -4 -4 -4 -4 -4]
 [-4  1 10 10 10  1 -4 -4 -4 -4 -4]
 [-4  1 10 10 10  1 -4 -4 -4 -4 -4]
 [-4 -4  1  1  1 -4 -4 -4 -4 -4 -4]
 [-4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4]]",[ 0 28  2  0  1  3  2  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
4,"[[0 0 0 0 0 0 0 0 0 0 0]
 [1 2 3 4 2 1 0 0 0 0 0]
 [1 2 4 5 3 1 0 0 0 0 0]
 [1 2 4 5 3 1 0 0 0 0 0]
 [0 0 1 1 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 1 3 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[-5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5]
 [ 0  5 10 10  5  0 -5 -5 -5 -5 -5]
 [ 0  5 10 10  9  0 -5 -5 -5 -5 -5]
 [ 0  5 10 10  9  0 -5 -5 -5 -5 -5]
 [-5 -5  0  0  0 -5 -5 -5 -5 -5 -5]
 [-5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5]]",[ 0 40  2  0  1  3  2  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
5,"[[0 0 0 0 0 0 0 0 0 0 0]
 [2 3 4 4 2 1 0 0 0 0 0]
 [2 3 5 5 3 1 0 0 0 0 0]
 [2 3 5 5 3 1 0 0 0 0 0]
 [0 0 1 1 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 2 3 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[-6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6]
 [ 4  9 10  9  4 -1 -6 -6 -6 -6 -6]
 [ 4  9 10  9  8 -1 -6 -6 -6 -6 -6]
 [ 4  9 10  9  8 -1 -6 -6 -6 -6 -6]
 [-6 -6 -1 -1 -1 -6 -6 -6 -6 -6 -6]
 [-6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6]]",[ 0 46  5  0  1  3  2  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
6,"[[0 0 0 0 0 0 0 0 0 0 0]
 [2 3 4 4 2 1 0 0 0 0 0]
 [2 4 6 6 3 1 0 0 0 0 0]
 [2 4 6 6 3 1 0 0 0 0 0]
 [0 1 2 2 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 3 3 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[-7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7]
 [ 3  8  9  8  3 -2 -7 -7 -7 -7 -7]
 [ 3 10 10 10  7 -2 -7 -7 -7 -7 -7]
 [ 3 10 10 10  7 -2 -7 -7 -7 -7 -7]
 [-7 -2  3  3 -2 -7 -7 -7 -7 -7 -7]
 [-7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7]]",[ 0 55  5  0  1  3  2  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
7,"[[0 0 0 0 0 0 0 0 0 0 0]
 [2 3 5 5 3 1 0 0 0 0 0]
 [2 4 7 7 4 1 0 0 0 0 0]
 [2 4 7 7 4 1 0 0 0 0 0]
 [0 1 2 2 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 4 3 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[-8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8]
 [ 2  7 10 10  7 -3 -8 -8 -8 -8 -8]
 [ 2  9 10 10 10 -3 -8 -8 -8 -8 -8]
 [ 2  9 10 10 10 -3 -8 -8 -8 -8 -8]
 [-8 -3  2  2 -3 -8 -8 -8 -8 -8 -8]
 [-8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8]]",[ 0 62  5  0  1  4  3  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
8,"[[0 0 0 0 0 0 0 0 0 0 0]
 [2 3 5 6 4 2 0 0 0 0 0]
 [2 4 7 8 5 2 0 0 0 0 0]
 [2 4 7 8 5 2 0 0 0 0 0]
 [0 1 2 2 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 4 4 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[-9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9]
 [ 1  6  9 10 10  1 -9 -9 -9 -9 -9]
 [ 1  8  9 10 10  1 -9 -9 -9 -9 -9]
 [ 1  8  9 10 10  1 -9 -9 -9 -9 -9]
 [-9 -4  1  1 -4 -9 -9 -9 -9 -9 -9]
 [-9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9]]",[ 0 66  7  0  2  5  4  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
9,"[[0 0 1 1 1 0 0 0 0 0 0]
 [2 3 6 7 5 2 0 0 0 0 0]
 [2 4 8 9 6 2 0 0 0 0 0]
 [2 4 7 8 5 2 0 0 0 0 0]
 [0 1 2 2 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 4 5 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[-10 -10  -5  -5  -5 -10 -10 -10 -10 -10 -10]
 [  0   5  10  10  10   0 -10 -10 -10 -10 -10]
 [  0   7  10  10  10   0 -10 -10 -10 -10 -10]
 [  0   7   8   9   9   0 -10 -10 -10 -10 -10]
 [-10  -5   0   0  -5 -10 -10 -10 -10 -10 -10]
 [-10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10]]",[ 0 70 10  0  2  6  5  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
