,world_map_obj,world_map_col,world_map_sta,c_world_map
0,"[[- - - - - - - - - - -]
 [- 1 1 1 6 - - - - - -]
 [- 1 Yourself 1 5 - - - - - -]
 [- 1 1 1 1 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [- 0 0 0 1 - - - - - -]
 [- 0 Yourself 0 1 - - - - - -]
 [- 0 0 0 0 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [- 0 0 0 0 - - - - - -]
 [- 0 Yourself 0 0 - - - - - -]
 [- 0 0 0 0 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [- 0Empty 0Empty 0Empty 1Ball - - - - - -]
 [- 0Empty Yourself 0Empty 1Key - - - - - -]
 [- 0Empty 0Empty 0Empty 0Empty - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]"
1,"[[- - - - - - - - - - -]
 [- 1 1 1 6 4 - - - - -]
 [- 1 1 Yourself 5 2 - - - - -]
 [- 1 1 1 1 2 - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [- 0 0 0 1 1 - - - - -]
 [- 0 0 Yourself 1 5 - - - - -]
 [- 0 0 0 0 5 - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [- 0 0 0 0 2 - - - - -]
 [- 0 0 Yourself 0 0 - - - - -]
 [- 0 0 0 0 0 - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [- 0Empty 0Empty 0Empty 1Ball 1Door+ - - - - -]
 [- 0Empty 0Empty Yourself 1Key 5Wall - - - - -]
 [- 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]"
2,"[[- - - - - - - - - - -]
 [- 1 1 1 6 4 - - - - -]
 [- 1 1 Yourself 5 2 - - - - -]
 [- 1 1 1 1 2 - - - - -]
 [- - 1 1 1 - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [- 0 0 0 1 1 - - - - -]
 [- 0 0 Yourself 1 5 - - - - -]
 [- 0 0 0 0 5 - - - - -]
 [- - 0 0 0 - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [- 0 0 0 0 2 - - - - -]
 [- 0 0 Yourself 0 0 - - - - -]
 [- 0 0 0 0 0 - - - - -]
 [- - 0 0 0 - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [- 0Empty 0Empty 0Empty 1Ball 1Door+ - - - - -]
 [- 0Empty 0Empty Yourself 1Key 5Wall - - - - -]
 [- 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [- - 0Empty 0Empty 0Empty - - - - - -]
 [- - - - - - - - - - -]]"
3,"[[- - - - - - - - - - -]
 [2 1 1 1 6 - - - - - -]
 [2 1 Yourself 1 5 - - - - - -]
 [2 1 1 1 1 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [5 0 0 0 1 - - - - - -]
 [5 0 Yourself 0 1 - - - - - -]
 [5 0 0 0 0 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [0 0 0 0 0 - - - - - -]
 [0 0 Yourself 0 0 - - - - - -]
 [0 0 0 0 0 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [5Wall 0Empty 0Empty 0Empty 1Ball - - - - - -]
 [5Wall 0Empty Yourself 0Empty 1Key - - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]"
4,"[[- - - - - - - - - - -]
 [2 1 1 1 6 - - - - - -]
 [2 1 Yourself 1 5 - - - - - -]
 [2 1 1 1 1 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [5 0 0 0 1 - - - - - -]
 [5 0 Yourself 0 1 - - - - - -]
 [5 0 0 0 0 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [0 0 0 0 0 - - - - - -]
 [0 0 Yourself 0 0 - - - - - -]
 [0 0 0 0 0 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [5Wall 0Empty 0Empty 0Empty 1Ball - - - - - -]
 [5Wall 0Empty Yourself 0Empty 1Key - - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]"
5,"[[- - - - - - - - - - -]
 [2 1 1 1 6 - - - - - -]
 [2 1 Yourself 1 5 - - - - - -]
 [2 1 1 1 1 - - - - - -]
 [- - 1 1 - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [5 0 0 0 1 - - - - - -]
 [5 0 Yourself 0 1 - - - - - -]
 [5 0 0 0 0 - - - - - -]
 [- - 0 0 - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [0 0 0 0 0 - - - - - -]
 [0 0 Yourself 0 0 - - - - - -]
 [0 0 0 0 0 - - - - - -]
 [- - 0 0 - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [5Wall 0Empty 0Empty 0Empty 1Ball - - - - - -]
 [5Wall 0Empty Yourself 0Empty 1Key - - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty - - - - - -]
 [- - 0Empty 0Empty - - - - - - -]
 [- - - - - - - - - - -]]"
6,"[[- - - - - - - - - - -]
 [2 1 1 1 6 - - - - - -]
 [2 1 Yourself 1 5 - - - - - -]
 [2 1 1 1 1 - - - - - -]
 [- - 1 1 - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [5 0 0 0 1 - - - - - -]
 [5 0 Yourself 0 1 - - - - - -]
 [5 0 0 0 0 - - - - - -]
 [- - 0 0 - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [0 0 0 0 0 - - - - - -]
 [0 0 Yourself 0 0 - - - - - -]
 [0 0 0 0 0 - - - - - -]
 [- - 0 0 - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [5Wall 0Empty 0Empty 0Empty 1Ball - - - - - -]
 [5Wall 0Empty Yourself 0Empty 1Key - - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty - - - - - -]
 [- - 0Empty 0Empty - - - - - - -]
 [- - - - - - - - - - -]]"
7,"[[- - - - - - - - - - -]
 [- 1 1 1 6 - - - - - -]
 [- 1 1 Yourself 5 - - - - - -]
 [- 1 1 1 1 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [- 0 0 0 1 - - - - - -]
 [- 0 0 Yourself 1 - - - - - -]
 [- 0 0 0 0 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [- 0 0 0 0 - - - - - -]
 [- 0 0 Yourself 0 - - - - - -]
 [- 0 0 0 0 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [- 0Empty 0Empty 0Empty 1Ball - - - - - -]
 [- 0Empty 0Empty Yourself 1Key - - - - - -]
 [- 0Empty 0Empty 0Empty 0Empty - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]"
8,"[[- - - - - - - - - - -]
 [- 1 1 1 6 - - - - - -]
 [- 1 1 Yourself 5 - - - - - -]
 [- 1 1 1 1 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [- 0 0 0 1 - - - - - -]
 [- 0 0 Yourself 1 - - - - - -]
 [- 0 0 0 0 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [- 0 0 0 0 - - - - - -]
 [- 0 0 Yourself 0 - - - - - -]
 [- 0 0 0 0 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [- 0Empty 0Empty 0Empty 1Ball - - - - - -]
 [- 0Empty 0Empty Yourself 1Key - - - - - -]
 [- 0Empty 0Empty 0Empty 0Empty - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]"
9,"[[- - - - - - - - - - -]
 [1 1 1 1 6 - - - - - -]
 [1 1 1 Yourself 5 - - - - - -]
 [1 1 1 1 1 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [0 0 0 0 1 - - - - - -]
 [0 0 0 Yourself 1 - - - - - -]
 [0 0 0 0 0 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [0 0 0 0 0 - - - - - -]
 [0 0 0 Yourself 0 - - - - - -]
 [0 0 0 0 0 - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]","[[- - - - - - - - - - -]
 [0Empty 0Empty 0Empty 0Empty 1Ball - - - - - -]
 [0Empty 0Empty 0Empty Yourself 1Key - - - - - -]
 [0Empty 0Empty 0Empty 0Empty 0Empty - - - - - -]
 [- - - - - - - - - - -]
 [- - - - - - - - - - -]]"
