,env_view,env_step,env_memo,obj_view,toggle,pick up,drop off
0,"[[0 1 1 1 1 1 0 0 0 0 0]
 [0 1 1 1 1 1 0 0 0 0 0]
 [0 1 1 1 1 1 0 0 0 0 0]
 [0 1 1 1 1 1 0 0 0 0 0]
 [0 1 1 1 1 1 0 0 0 0 0]
 [0 1 1 1 1 1 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[ 0 10 10 10 10 10  0  0  0  0  0]
 [ 0 10 10 10 10 10  0  0  0  0  0]
 [ 0 10 10 10 10 10  0  0  0  0  0]
 [ 0 10 10 10 10 10  0  0  0  0  0]
 [ 0 10 10 10 10 10  0  0  0  0  0]
 [ 0 10 10 10 10 10  0  0  0  0  0]]",[12 14 13  0  1  1  1  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
1,"[[0 1 2 2 2 2 0 0 0 0 0]
 [0 1 2 2 2 2 0 0 0 0 0]
 [0 1 2 2 2 2 0 0 0 0 0]
 [0 1 2 2 2 2 0 0 0 0 0]
 [0 1 2 2 2 2 0 0 0 0 0]
 [0 1 2 2 2 2 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 1 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[ 0  9 10 10 10 10  0  0  0  0  0]
 [ 0  9 10 10 10 10  0  0  0  0  0]
 [ 0  9 10 10 10 10  0  0  0  0  0]
 [ 0  9 10 10 10 10  0  0  0  0  0]
 [ 0  9 10 10 10 10  0  0  0  0  0]
 [ 0  9 10 10 10 10  0  0  0  0  0]]",[30 24 24  0  2  2  2  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
2,"[[1 2 3 3 3 3 0 0 0 0 0]
 [1 2 3 3 3 3 0 0 0 0 0]
 [1 2 3 3 3 3 0 0 0 0 0]
 [0 1 2 2 2 2 0 0 0 0 0]
 [0 1 2 2 2 2 0 0 0 0 0]
 [0 1 2 2 2 2 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 2 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[10 10 10 10 10 10  0  0  0  0  0]
 [10 10 10 10 10 10  0  0  0  0  0]
 [10 10 10 10 10 10  0  0  0  0  0]
 [ 0  8  9  9  9  9  0  0  0  0  0]
 [ 0  8  9  9  9  9  0  0  0  0  0]
 [ 0  8  9  9  9  9  0  0  0  0  0]]",[30 30 33  0  3  3  3  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
3,"[[2 3 4 4 4 4 0 0 0 0 0]
 [2 3 4 4 4 4 0 0 0 0 0]
 [2 3 4 4 4 4 0 0 0 0 0]
 [0 1 2 2 2 2 0 0 0 0 0]
 [0 1 2 2 2 2 0 0 0 0 0]
 [0 1 2 2 2 2 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 3 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[10 10 10 10 10 10  0  0  0  0  0]
 [10 10 10 10 10 10  0  0  0  0  0]
 [10 10 10 10 10 10  0  0  0  0  0]
 [ 0  7  8  8  8  8  0  0  0  0  0]
 [ 0  7  8  8  8  8  0  0  0  0  0]
 [ 0  7  8  8  8  8  0  0  0  0  0]]",[30 36 42  0  4  4  4  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
4,"[[3 4 5 4 4 4 0 0 0 0 0]
 [3 4 5 4 4 4 0 0 0 0 0]
 [3 4 5 4 4 4 0 0 0 0 0]
 [1 2 3 2 2 2 0 0 0 0 0]
 [1 2 3 2 2 2 0 0 0 0 0]
 [1 2 3 2 2 2 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 4 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[10 10 10  9  9  9  0  0  0  0  0]
 [10 10 10  9  9  9  0  0  0  0  0]
 [10 10 10  9  9  9  0  0  0  0  0]
 [10 10 10  7  7  7  0  0  0  0  0]
 [10 10 10  7  7  7  0  0  0  0  0]
 [10 10 10  7  7  7  0  0  0  0  0]]",[30 44 52  0  4  4  4  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
5,"[[4 5 5 4 4 4 0 0 0 0 0]
 [4 5 5 4 4 4 0 0 0 0 0]
 [4 5 5 4 4 4 0 0 0 0 0]
 [2 3 3 2 2 2 0 0 0 0 0]
 [2 3 3 2 2 2 0 0 0 0 0]
 [2 3 3 2 2 2 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 2 4 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[10 10  9  8  8  8  0  0  0  0  0]
 [10 10  9  8  8  8  0  0  0  0  0]
 [10 10  9  8  8  8  0  0  0  0  0]
 [10 10  9  6  6  6  0  0  0  0  0]
 [10 10  9  6  6  6  0  0  0  0  0]
 [10 10  9  6  6  6  0  0  0  0  0]]",[30 48 60  0  4  4  4  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
6,"[[4 5 5 4 4 4 0 0 0 0 0]
 [4 5 5 4 4 4 0 0 0 0 0]
 [4 5 5 4 4 4 0 0 0 0 0]
 [2 3 3 2 2 2 0 0 0 0 0]
 [2 3 3 2 2 2 0 0 0 0 0]
 [2 3 3 2 2 2 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 2 4 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[10 10  9  8  8  8  0  0  0  0  0]
 [10 10  9  8  8  8  0  0  0  0  0]
 [10 10  9  8  8  8  0  0  0  0  0]
 [10 10  9  6  6  6  0  0  0  0  0]
 [10 10  9  6  6  6  0  0  0  0  0]
 [10 10  9  6  6  6  0  0  0  0  0]]",[30 48 60  0  4  4  4  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
7,"[[4 5 5 4 4 4 0 0 0 0 0]
 [4 5 5 4 4 4 0 0 0 0 0]
 [4 5 5 4 4 4 0 0 0 0 0]
 [2 3 3 2 2 2 0 0 0 0 0]
 [2 3 3 2 2 2 0 0 0 0 0]
 [2 3 3 2 2 2 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 2 4 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[10 10  9  8  8  8  0  0  0  0  0]
 [10 10  9  8  8  8  0  0  0  0  0]
 [10 10  9  8  8  8  0  0  0  0  0]
 [10 10  9  6  6  6  0  0  0  0  0]
 [10 10  9  6  6  6  0  0  0  0  0]
 [10 10  9  6  6  6  0  0  0  0  0]]",[30 48 60  0  4  4  4  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
8,"[[4 5 5 4 4 4 0 0 0 0 0]
 [4 5 5 4 4 4 0 0 0 0 0]
 [4 5 5 4 4 4 0 0 0 0 0]
 [2 3 3 2 2 2 0 0 0 0 0]
 [2 3 3 2 2 2 0 0 0 0 0]
 [2 3 3 2 2 2 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 2 4 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[10 10  9  8  8  8  0  0  0  0  0]
 [10 10  9  8  8  8  0  0  0  0  0]
 [10 10  9  8  8  8  0  0  0  0  0]
 [10 10  9  6  6  6  0  0  0  0  0]
 [10 10  9  6  6  6  0  0  0  0  0]
 [10 10  9  6  6  6  0  0  0  0  0]]",[30 48 60  0  4  4  4  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
9,"[[4 5 5 4 4 4 0 0 0 0 0]
 [4 5 5 4 4 4 0 0 0 0 0]
 [4 5 5 4 4 4 0 0 0 0 0]
 [2 3 3 2 2 2 0 0 0 0 0]
 [2 3 3 2 2 2 0 0 0 0 0]
 [2 3 3 2 2 2 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 2 4 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[10 10  9  8  8  8  0  0  0  0  0]
 [10 10  9  8  8  8  0  0  0  0  0]
 [10 10  9  8  8  8  0  0  0  0  0]
 [10 10  9  6  6  6  0  0  0  0  0]
 [10 10  9  6  6  6  0  0  0  0  0]
 [10 10  9  6  6  6  0  0  0  0  0]]",[30 48 60  0  4  4  4  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
