,world_map_obj,world_map_col,world_map_sta,c_world_map
0,"[[2 2 2 2 2 2 - - - - -]
 [2 1 1 1 6 4 - - - - -]
 [2 1 Yourself 1 5 2 - - - - -]
 [- 1 1 1 1 2 - - - - -]
 [- 1 1 1 1 2 - - - - -]
 [- 2 2 2 2 2 - - - - -]]","[[5 5 5 5 5 5 - - - - -]
 [5 0 0 0 1 1 - - - - -]
 [5 0 Yourself 0 1 5 - - - - -]
 [- 0 0 0 0 5 - - - - -]
 [- 0 0 0 0 5 - - - - -]
 [- 5 5 5 5 5 - - - - -]]","[[0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 2 - - - - -]
 [0 0 Yourself 0 0 0 - - - - -]
 [- 0 0 0 0 0 - - - - -]
 [- 0 0 0 0 0 - - - - -]
 [- 0 0 0 0 0 - - - - -]]","[[5Wall 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 1Ball 1Door+ - - - - -]
 [5Wall 0Empty Yourself 0Empty 1Key 5Wall - - - - -]
 [- 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [- 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [- 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]]"
1,"[[2 2 2 2 2 2 - - - - -]
 [2 1 1 1 6 4 - - - - -]
 [2 1 Yourself 1 5 2 - - - - -]
 [- 1 1 1 1 2 - - - - -]
 [- 1 1 1 1 2 - - - - -]
 [- 2 2 2 2 2 - - - - -]]","[[5 5 5 5 5 5 - - - - -]
 [5 0 0 0 1 1 - - - - -]
 [5 0 Yourself 0 1 5 - - - - -]
 [- 0 0 0 0 5 - - - - -]
 [- 0 0 0 0 5 - - - - -]
 [- 5 5 5 5 5 - - - - -]]","[[0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 2 - - - - -]
 [0 0 Yourself 0 0 0 - - - - -]
 [- 0 0 0 0 0 - - - - -]
 [- 0 0 0 0 0 - - - - -]
 [- 0 0 0 0 0 - - - - -]]","[[5Wall 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 1Ball 1Door+ - - - - -]
 [5Wall 0Empty Yourself 0Empty 1Key 5Wall - - - - -]
 [- 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [- 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [- 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]]"
2,"[[2 2 2 2 2 2 - - - - -]
 [2 1 1 1 6 4 - - - - -]
 [2 1 Yourself 1 5 2 - - - - -]
 [- 1 1 1 1 2 - - - - -]
 [- 1 1 1 1 2 - - - - -]
 [- 2 2 2 2 2 - - - - -]]","[[5 5 5 5 5 5 - - - - -]
 [5 0 0 0 1 1 - - - - -]
 [5 0 Yourself 0 1 5 - - - - -]
 [- 0 0 0 0 5 - - - - -]
 [- 0 0 0 0 5 - - - - -]
 [- 5 5 5 5 5 - - - - -]]","[[0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 2 - - - - -]
 [0 0 Yourself 0 0 0 - - - - -]
 [- 0 0 0 0 0 - - - - -]
 [- 0 0 0 0 0 - - - - -]
 [- 0 0 0 0 0 - - - - -]]","[[5Wall 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 1Ball 1Door+ - - - - -]
 [5Wall 0Empty Yourself 0Empty 1Key 5Wall - - - - -]
 [- 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [- 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [- 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]]"
3,"[[2 2 2 2 2 2 - - - - -]
 [2 1 1 1 6 4 - - - - -]
 [2 Yourself 1 1 5 2 - - - - -]
 [2 1 1 1 1 2 - - - - -]
 [2 1 1 1 1 2 - - - - -]
 [2 2 2 2 2 2 - - - - -]]","[[5 5 5 5 5 5 - - - - -]
 [5 0 0 0 1 1 - - - - -]
 [5 Yourself 0 0 1 5 - - - - -]
 [5 0 0 0 0 5 - - - - -]
 [5 0 0 0 0 5 - - - - -]
 [5 5 5 5 5 5 - - - - -]]","[[0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 2 - - - - -]
 [0 Yourself 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]]","[[5Wall 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 1Ball 1Door+ - - - - -]
 [5Wall Yourself 0Empty 0Empty 1Key 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [5Wall 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]]"
4,"[[2 2 2 2 2 2 - - - - -]
 [2 1 1 1 6 4 - - - - -]
 [2 Yourself 1 1 5 2 - - - - -]
 [2 1 1 1 1 2 - - - - -]
 [2 1 1 1 1 2 - - - - -]
 [2 2 2 2 2 2 - - - - -]]","[[5 5 5 5 5 5 - - - - -]
 [5 0 0 0 1 1 - - - - -]
 [5 Yourself 0 0 1 5 - - - - -]
 [5 0 0 0 0 5 - - - - -]
 [5 0 0 0 0 5 - - - - -]
 [5 5 5 5 5 5 - - - - -]]","[[0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 2 - - - - -]
 [0 Yourself 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]]","[[5Wall 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 1Ball 1Door+ - - - - -]
 [5Wall Yourself 0Empty 0Empty 1Key 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [5Wall 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]]"
5,"[[2 2 2 2 2 2 - - - - -]
 [2 1 1 1 6 4 - - - - -]
 [2 Yourself 1 1 5 2 - - - - -]
 [2 1 1 1 1 2 - - - - -]
 [2 1 1 1 1 2 - - - - -]
 [2 2 2 2 2 2 - - - - -]]","[[5 5 5 5 5 5 - - - - -]
 [5 0 0 0 1 1 - - - - -]
 [5 Yourself 0 0 1 5 - - - - -]
 [5 0 0 0 0 5 - - - - -]
 [5 0 0 0 0 5 - - - - -]
 [5 5 5 5 5 5 - - - - -]]","[[0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 2 - - - - -]
 [0 Yourself 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]]","[[5Wall 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 1Ball 1Door+ - - - - -]
 [5Wall Yourself 0Empty 0Empty 1Key 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [5Wall 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]]"
6,"[[2 2 2 2 2 2 - - - - -]
 [2 1 1 1 6 4 - - - - -]
 [2 Yourself 1 1 5 2 - - - - -]
 [2 1 1 1 1 2 - - - - -]
 [2 1 1 1 1 2 - - - - -]
 [2 2 2 2 2 2 - - - - -]]","[[5 5 5 5 5 5 - - - - -]
 [5 0 0 0 1 1 - - - - -]
 [5 Yourself 0 0 1 5 - - - - -]
 [5 0 0 0 0 5 - - - - -]
 [5 0 0 0 0 5 - - - - -]
 [5 5 5 5 5 5 - - - - -]]","[[0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 2 - - - - -]
 [0 Yourself 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]]","[[5Wall 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 1Ball 1Door+ - - - - -]
 [5Wall Yourself 0Empty 0Empty 1Key 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [5Wall 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]]"
7,"[[2 2 2 2 2 2 - - - - -]
 [2 1 1 1 6 4 - - - - -]
 [2 Yourself 1 1 5 2 - - - - -]
 [2 1 1 1 1 2 - - - - -]
 [2 1 1 1 1 2 - - - - -]
 [2 2 2 2 2 2 - - - - -]]","[[5 5 5 5 5 5 - - - - -]
 [5 0 0 0 1 1 - - - - -]
 [5 Yourself 0 0 1 5 - - - - -]
 [5 0 0 0 0 5 - - - - -]
 [5 0 0 0 0 5 - - - - -]
 [5 5 5 5 5 5 - - - - -]]","[[0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 2 - - - - -]
 [0 Yourself 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]]","[[5Wall 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 1Ball 1Door+ - - - - -]
 [5Wall Yourself 0Empty 0Empty 1Key 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [5Wall 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]]"
8,"[[2 2 2 2 2 2 - - - - -]
 [2 1 1 1 6 4 - - - - -]
 [2 Yourself 1 1 5 2 - - - - -]
 [2 1 1 1 1 2 - - - - -]
 [2 1 1 1 1 2 - - - - -]
 [2 2 2 2 2 2 - - - - -]]","[[5 5 5 5 5 5 - - - - -]
 [5 0 0 0 1 1 - - - - -]
 [5 Yourself 0 0 1 5 - - - - -]
 [5 0 0 0 0 5 - - - - -]
 [5 0 0 0 0 5 - - - - -]
 [5 5 5 5 5 5 - - - - -]]","[[0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 2 - - - - -]
 [0 Yourself 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]]","[[5Wall 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 1Ball 1Door+ - - - - -]
 [5Wall Yourself 0Empty 0Empty 1Key 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [5Wall 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]]"
9,"[[2 2 2 2 2 2 - - - - -]
 [2 1 1 1 6 4 - - - - -]
 [2 Yourself 1 1 5 2 - - - - -]
 [2 1 1 1 1 2 - - - - -]
 [2 1 1 1 1 2 - - - - -]
 [2 2 2 2 2 2 - - - - -]]","[[5 5 5 5 5 5 - - - - -]
 [5 0 0 0 1 1 - - - - -]
 [5 Yourself 0 0 1 5 - - - - -]
 [5 0 0 0 0 5 - - - - -]
 [5 0 0 0 0 5 - - - - -]
 [5 5 5 5 5 5 - - - - -]]","[[0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 2 - - - - -]
 [0 Yourself 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]
 [0 0 0 0 0 0 - - - - -]]","[[5Wall 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 1Ball 1Door+ - - - - -]
 [5Wall Yourself 0Empty 0Empty 1Key 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [5Wall 0Empty 0Empty 0Empty 0Empty 5Wall - - - - -]
 [5Wall 5Wall 5Wall 5Wall 5Wall 5Wall - - - - -]]"
